Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de agosto de 2024 al 31 de agosto de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 2,20240801_102403_V11G,1/8/24 12:42,3232,casacasco02-845854d65a4841e5_3232_ab36d2473dbda803,Dorado al Coco,Principales,TERRAZA,26,0,1.82,27.82,1,26
Restaurant 2,20240801_102403_V11G,1/8/24 12:42,780,casacasco02-845854d65a4841e5_780_e6aed2a7b2f26f98,Coconut Passion, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 2,20240801_102403_V11G,1/8/24 12:42,694,casacasco02-845854d65a4841e5_694_d99dd7663179a996,Lavazza Cafe, Bebidas No Alcoholicas, CAFE,5,0,0.35,5.35,1,5
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,510,casacasco01-5d78e012c5714e63_510_3557ca1abc96af50,Hamburguesa Marula,Principales,TERRAZA,19,0,1.33,20.33,1,19
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,1738,casacasco01-5d78e012c5714e63_1738_e1915d2f782f9489,Pizza de Prosciutto,Principales,TERRAZA,18,0,1.26,19.26,1,18
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,1737,casacasco01-5d78e012c5714e63_1737_abbbddee14629f9d,Buffalo Wings,Principales,TERRAZA,17,0,1.19,18.19,1,17
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,1560,casacasco01-5d78e012c5714e63_1560_40c45b753bb3be9b,Nigiri 3 Tiempos,Principales,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,2393,casacasco01-5d78e012c5714e63_2393_c70cbbfbfd78e44a,Postre Kaboso Nikkei,Principales,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,21800009,casacasco01-5d78e012c5714e63_21800009_474e7ec1fc7ef9eb,Jugo Maracuya Vaso, Bebidas No Alcoholicas, JUGOS,12,0,0.84,12.84,2,6
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,21800006,casacasco01-5d78e012c5714e63_21800006_8573fc820c71742c,Jugo  Pina Vaso, Bebidas No Alcoholicas, JUGOS,6,0,0.42,6.42,1,6
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,21800012,casacasco01-5d78e012c5714e63_21800012_d314301b86a2d6d0,Limonada frozen sin alcohol, Bebidas No Alcoholicas, JUGOS,6,0,0.42,6.42,1,6
Restaurant 1,20240801_283560_V10G,1/8/24 13:00,694,casacasco01-5d78e012c5714e63_694_d99dd7663179a996,Lavazza Cafe, Bebidas No Alcoholicas, CAFE,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102399_V11G,1/8/24 13:21,11000015,casacasco02-845854d65a4841e5_11000015_1df5bd2f7d4b869e,Balboa Roja lata 330 ml, Bebidas Alcoholicas, CERVEZA,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102400_V11G,1/8/24 13:49,994,casacasco02-845854d65a4841e5_994_c6e7dbc187fc6d7a,Wild Mojito, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 2,20240801_102402_V11G,1/8/24 13:56,3232,casacasco02-845854d65a4841e5_3232_ab36d2473dbda803,Dorado al Coco,Principales,TERRAZA,26,0,1.82,27.82,1,26
Restaurant 2,20240801_102402_V11G,1/8/24 13:56,3182,casacasco02-845854d65a4841e5_3182_7f6d6ff93fafa480,Empanaditas Ropa Vieja,Entrantes,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 2,20240801_102401_V11G,1/8/24 13:56,3232,casacasco02-845854d65a4841e5_3232_ab36d2473dbda803,Dorado al Coco,Principales,TERRAZA,26,0,1.82,27.82,1,26
Restaurant 2,20240801_102401_V11G,1/8/24 13:56,780,casacasco02-845854d65a4841e5_780_e6aed2a7b2f26f98,Coconut Passion, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 2,20240801_102401_V11G,1/8/24 13:56,694,casacasco02-845854d65a4841e5_694_d99dd7663179a996,Lavazza Cafe, Bebidas No Alcoholicas, CAFE,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102404_V11G,1/8/24 13:58,1008,casacasco02-845854d65a4841e5_1008_53d28ec430e11798,Marques C Verd Copa, Bebidas Alcoholicas, VINO BLANCO,9,0,0.63,9.63,1,9
Restaurant 2,20240801_102438_V11G,1/8/24 14:00,987,casacasco02-845854d65a4841e5_987_b0be3b25c9c413ce,Fruit Punch, Bebidas No Alcoholicas, JUGOS,8,4,0.28,4.28,1,8
Restaurant 2,20240801_102438_V11G,1/8/24 14:00,694,casacasco02-845854d65a4841e5_694_d99dd7663179a996,Lavazza Cafe, Bebidas No Alcoholicas, CAFE,5,2.5,0.18,2.68,1,5
Restaurant 2,20240801_102438_V11G,1/8/24 14:00,21600004,casacasco02-845854d65a4841e5_21600004_f181f7f5d3ae33bb,Coca Zero 354ML, Bebidas No Alcoholicas, SODA,3.5,1.75,0.12,1.87,1,3.5
Restaurant 2,20240801_102407_V11G,1/8/24 15:54,3182,casacasco02-845854d65a4841e5_3182_7f6d6ff93fafa480,Empanaditas Ropa Vieja,Entrantes,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 2,20240801_102407_V11G,1/8/24 15:54,3183,casacasco02-845854d65a4841e5_3183_cd62c84fb089ccb5,Tequenos salsa Tomillo y Aji,Entrantes,TERRAZA,14,0,0.98,14.98,1,14
Restaurant 2,20240801_102407_V11G,1/8/24 15:54,1758,casacasco02-845854d65a4841e5_1758_9ee179c048297b9b,Easy Beach, Bebidas No Alcoholicas, MOCKTAILS,13,0,0.91,13.91,2,6.5
Restaurant 2,20240801_102407_V11G,1/8/24 15:54,21500003,casacasco02-845854d65a4841e5_21500003_58847228b3f68369,Agua Panama Blue 500 ml, Bebidas No Alcoholicas, AGUA,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,3234,casacasco02-845854d65a4841e5_3234_2fc27ea5edd6a9aa,Fondue de Centollo,Principales,TERRAZA,45,0,3.15,48.15,1,45
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,3229,casacasco02-845854d65a4841e5_3229_ed400f9c2336573d,Gnocchi Otoe Langosta,Principales,TERRAZA,34,0,2.38,36.38,1,34
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,3232,casacasco02-845854d65a4841e5_3232_ab36d2473dbda803,Dorado al Coco,Principales,TERRAZA,26,0,1.82,27.82,1,26
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,3214,casacasco02-845854d65a4841e5_3214_b27481a7d18c43c4,Ensalada de Kobore,Entrantes,TERRAZA,16,0,1.12,17.12,1,16
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,21600004,casacasco02-845854d65a4841e5_21600004_f181f7f5d3ae33bb,Coca Zero 354ML, Bebidas No Alcoholicas, SODA,7,0,0.49,7.49,2,3.5
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,21500014,casacasco02-845854d65a4841e5_21500014_9d3f88f1ab3faa01,Perrier Bot 330ML, Bebidas No Alcoholicas, AGUA,5.5,0,0.38,5.89,1,5.5
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,1877,casacasco02-845854d65a4841e5_1877_4a66c1f7a743a4b6,Lemongrass taza, Bebidas No Alcoholicas, TE O INFUSIONES,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,21600001,casacasco02-845854d65a4841e5_21600001_c9899eb35f302aff,Soda Schweppes 330ML, Bebidas No Alcoholicas, SODA,3.5,0,0.25,3.75,1,3.5
Restaurant 2,20240801_102409_V11G,1/8/24 16:03,744,casacasco02-845854d65a4841e5_744_5ed9bc898cd66bae,Vaso Chelado, Bebidas Alcoholicas, CERVEZA,1.5,0,0.11,1.61,1,1.5
Restaurant 1,20240801_283561_V10G,1/8/24 16:35,11000018,casacasco01-5d78e012c5714e63_11000018_e2342304123c5e27,Modelo Negra Bot 355 ML, Bebidas Alcoholicas, CERVEZA,18,0,1.26,19.26,3,6
