Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de julio de 2024 al 31 de julio de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 1,20240701_279934_V10G,1/7/24 12:46,3354,casacasco01-5d78e012c5714e63_3354_b89638455e640027,Margarita, Bebidas Alcoholicas, COCTELES CLASICOS,37.5,0,2.63,40.13,3,12.5
Restaurant 1,20240701_279934_V10G,1/7/24 12:46,3189,casacasco01-5d78e012c5714e63_3189_b3636b91a8275146,Tacos Filete Res, KOBORE, KOBORE TERRAZA,18,0,1.26,19.26,1,18
Restaurant 1,20240701_279934_V10G,1/7/24 12:46,53000004,casacasco01-5d78e012c5714e63_53000004_8721ab682fec34a0,Ceviche de Corvina, MARULA, PICADAS MARULA TERRAZA,14,0,0.98,14.98,1,14
Restaurant 1,20240701_279933_V10G,1/7/24 13:27,780,casacasco01-5d78e012c5714e63_780_e6aed2a7b2f26f98,Coconut Passion, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20240701_279933_V10G,1/7/24 13:27,11100014,casacasco01-5d78e012c5714e63_11100014_2e3a885c3d17d465,Aperol Spritz, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240701_279937_V10G,1/7/24 14:08,111,casacasco01-5d78e012c5714e63_111_0b247d14aaf7c7eb,Blue Moon  12OZ, Bebidas Alcoholicas, CERVEZA,13,0,0.91,13.91,2,6.5
Restaurant 1,20240701_279937_V10G,1/7/24 14:08,11000010,casacasco01-5d78e012c5714e63_11000010_c153699ccee59b66,Corona Botella 355ML, Bebidas Alcoholicas, CERVEZA,12,0,0.84,12.84,2,6
Restaurant 1,20240701_279935_V10G,1/7/24 14:12,694,casacasco01-5d78e012c5714e63_694_d99dd7663179a996,Lavazza Cafe, Bebidas No Alcoholicas, CAFE,10,0,0.7,10.7,2,5
Restaurant 1,20240701_279936_V10G,1/7/24 14:22,11100006,casacasco01-5d78e012c5714e63_11100006_da7daf9f92082cd8,Cosmopolitan, Bebidas Alcoholicas, COCTELES CLASICOS,25,0,1.75,26.75,2,12.5
Restaurant 1,20240701_279938_V10G,1/7/24 14:51,11100010,casacasco01-5d78e012c5714e63_11100010_4a51f0ee50366716,Margarita Patron, Bebidas Alcoholicas, COCTELES CLASICOS,29,0,2.03,31.03,2,14.5
Restaurant 1,20240701_279938_V10G,1/7/24 14:51,989,casacasco01-5d78e012c5714e63_989_1c99abe88367df07,Mojito Virgen, Bebidas No Alcoholicas, JUGOS,16,0,1.12,17.12,2,8
