Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de junio de 2024 al 30 de junio de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 1,20240601_276331_V10G,1/6/24 13:15,2311,casacasco01-5d78e012c5714e63_2311_9e4187e439cbea5b,Sea & Meat,,,36,0,2.52,38.52,1,36
Restaurant 1,20240601_276331_V10G,1/6/24 13:15,721,casacasco01-5d78e012c5714e63_721_1fe10ce1f6d86bdf,Trio Mini Burguer, MARULA, PICADAS MARULA TERRAZA,17,0,1.19,18.19,1,17
Restaurant 1,20240601_276331_V10G,1/6/24 13:15,780,casacasco01-5d78e012c5714e63_780_e6aed2a7b2f26f98,Coconut Passion, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20240601_276331_V10G,1/6/24 13:15,2049,casacasco01-5d78e012c5714e63_2049_48d08f56eac79904,The Traveler, Bebidas Alcoholicas, HOUSE COCKTAILS,13,0,0.91,13.91,1,13
Restaurant 1,20240601_276331_V10G,1/6/24 13:15,21600004,casacasco01-5d78e012c5714e63_21600004_f181f7f5d3ae33bb,Coca Zero 354ML, Bebidas No Alcoholicas, SODA,7,0,0.49,7.49,2,3.5
Restaurant 1,20240601_276331_V10G,1/6/24 13:15,368,casacasco01-5d78e012c5714e63_368_7459f64b9b7e4361,CocaCola 354 ML, Bebidas No Alcoholicas, SODA,7,0,0.49,7.49,2,3.5
Restaurant 1,20240601_276332_V10G,1/6/24 16:11,2265,casacasco01-5d78e012c5714e63_2265_e6b46f368d0c52a8,Ceviche Amazonico,,,18,0,1.26,19.26,1,18
Restaurant 1,20240601_276332_V10G,1/6/24 16:11,1592,casacasco01-5d78e012c5714e63_1592_e3d4e5db5917203a,Belly Pork Corn, MARULA, PICADAS MARULA TERRAZA,16.5,0,1.16,17.66,1,16.5
Restaurant 1,20240601_276332_V10G,1/6/24 16:11,1560,casacasco01-5d78e012c5714e63_1560_40c45b753bb3be9b,Nigiri 3 Tiempos,,,15,0,1.05,16.05,1,15
Restaurant 1,20240601_276332_V10G,1/6/24 16:11,1008,casacasco01-5d78e012c5714e63_1008_53d28ec430e11798,Marques C Verd Copa, Bebidas Alcoholicas, VINO BLANCO,9,0,0.63,9.63,1,9
Restaurant 1,20240601_276332_V10G,1/6/24 16:11,21800012,casacasco01-5d78e012c5714e63_21800012_d314301b86a2d6d0,Limonada frozen sin alcohol, Bebidas No Alcoholicas, JUGOS,6,0,0.42,6.42,1,6
Restaurant 1,20240601_276332_V10G,1/6/24 16:11,21500014,casacasco01-5d78e012c5714e63_21500014_9d3f88f1ab3faa01,Perrier Bot 330ML, Bebidas No Alcoholicas, AGUA,5.5,0,0.38,5.89,1,5.5
Restaurant 1,20240601_276332_V10G,1/6/24 16:11,1039,casacasco01-5d78e012c5714e63_1039_e4b5b8c1425ce49c,Crema de Coco Extra, Bebidas Alcoholicas, COCTELES CLASICOS,2.5,0,0.18,2.68,1,2.5
Restaurant 1,20240601_276338_V10G,1/6/24 16:25,478,casacasco01-5d78e012c5714e63_478_29756071c33df3f7,Dona Paula Cardos Chardonnay Copa, Bebidas Alcoholicas, VINO BLANCO,50,0,3.5,53.5,5,10
Restaurant 1,20240601_276338_V10G,1/6/24 16:25,2367,casacasco01-5d78e012c5714e63_2367_83072fd53a540586,Sushi Boat (2 pax),,,23,0,1.61,24.61,1,23
Restaurant 1,20240601_276338_V10G,1/6/24 16:25,1759,casacasco01-5d78e012c5714e63_1759_70b572bcd1a9818b,Casco Flower, Bebidas No Alcoholicas, MOCKTAILS,13,0,0.91,13.91,2,6.5
Restaurant 1,20240601_276338_V10G,1/6/24 16:25,2249,casacasco01-5d78e012c5714e63_2249_fea53836492505d1,Guacamole y Nachos,,,12,0,0.84,12.84,1,12
Restaurant 1,20240601_276338_V10G,1/6/24 16:25,784,casacasco01-5d78e012c5714e63_784_7308db7f3795faea,Tiraditi Nikkei,,,12,0,0.84,12.84,1,12
Restaurant 1,20240601_276338_V10G,1/6/24 16:25,637,casacasco01-5d78e012c5714e63_637_bb1b7af45a135afd,Marques C Cri Copa, Bebidas Alcoholicas, VINO TINTO,10,0,0.7,10.7,1,10
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,10500016,casacasco01-5d78e012c5714e63_10500016_9ddad98e95347de9,Hendricks Servicio 700ML, Bebidas Alcoholicas, GINEBRA,140,0,9.8,149.8,1,140
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,52300003,casacasco01-5d78e012c5714e63_52300003_88017d091cd42dc8,Casacasco Roll,,,28,0,1.96,29.96,2,14
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,11000013,casacasco01-5d78e012c5714e63_11000013_1e4a73a597383a0e,Miller Genuine 300 ML, Bebidas Alcoholicas, CERVEZA,18,0,1.26,19.26,3,6
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,1592,casacasco01-5d78e012c5714e63_1592_e3d4e5db5917203a,Belly Pork Corn, MARULA, PICADAS MARULA TERRAZA,16.5,0,1.16,17.66,1,16.5
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,2230,casacasco01-5d78e012c5714e63_2230_6e52de5087f67cf4,Brouchet Thai,,,16,0,1.12,17.12,1,16
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,10120001,casacasco01-5d78e012c5714e63_10120001_08b9646584cd93c5,Mojito Clasico, Bebidas Alcoholicas, MOJITOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,10500015,casacasco01-5d78e012c5714e63_10500015_4f2c5b64c7e2fdcc,Hendricks Trago, Bebidas Alcoholicas, GINEBRA,12,0,0.84,12.84,1,12
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,10900169,casacasco01-5d78e012c5714e63_10900169_0c54098ee33a5b7d,Red Classic Copa, Bebidas Alcoholicas, SUBPRODUCTOS DE BARRA,8.5,0,0.6,9.1,1,8.5
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,988,casacasco01-5d78e012c5714e63_988_14dc863869ad6c45,Amapola, Bebidas No Alcoholicas, JUGOS,8,0,0.56,8.56,1,8
Restaurant 1,20240601_276359_V10G,1/6/24 17:08,11000010,casacasco01-5d78e012c5714e63_11000010_c153699ccee59b66,Corona Botella 355ML, Bebidas Alcoholicas, CERVEZA,6,0,0.42,6.42,1,6
Restaurant 1,20240601_276333_V10G,1/6/24 17:10,780,casacasco01-5d78e012c5714e63_780_e6aed2a7b2f26f98,Coconut Passion, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20240601_276333_V10G,1/6/24 17:10,11000015,casacasco01-5d78e012c5714e63_11000015_cbac0239af15e007,Balboa Roja Bot 330 ml, Bebidas Alcoholicas, CERVEZA,10,0,0.7,10.7,2,5
Restaurant 1,20240601_276365_V10G,1/6/24 17:14,11100014,casacasco01-5d78e012c5714e63_11100014_2e3a885c3d17d465,Aperol Spritz, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276365_V10G,1/6/24 17:14,10902026,casacasco01-5d78e012c5714e63_10902026_b6bfefab95550857,Tropical Fresh Copa, Bebidas Alcoholicas, SUBPRODUCTOS DE BARRA,8.5,0,0.6,9.1,1,8.5
Restaurant 1,20240601_276365_V10G,1/6/24 17:14,1758,casacasco01-5d78e012c5714e63_1758_9ee179c048297b9b,Easy Beach, Bebidas No Alcoholicas, MOCKTAILS,6.5,0,0.46,6.96,1,6.5
Restaurant 1,20240601_276365_V10G,1/6/24 17:14,1759,casacasco01-5d78e012c5714e63_1759_70b572bcd1a9818b,Casco Flower, Bebidas No Alcoholicas, MOCKTAILS,6.5,0,0.46,6.96,1,6.5
Restaurant 1,20240601_276349_V10G,1/6/24 17:19,994,casacasco01-5d78e012c5714e63_994_c6e7dbc187fc6d7a,Wild Mojito, Bebidas Alcoholicas, HOUSE COCKTAILS,27,0,1.89,28.89,2,13.5
Restaurant 1,20240601_276349_V10G,1/6/24 17:19,10120001,casacasco01-5d78e012c5714e63_10120001_08b9646584cd93c5,Mojito Clasico, Bebidas Alcoholicas, MOJITOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276349_V10G,1/6/24 17:19,11000015,casacasco01-5d78e012c5714e63_11000015_cbac0239af15e007,Balboa Roja Bot 330 ml, Bebidas Alcoholicas, CERVEZA,5,0,0.35,5.35,1,5
Restaurant 1,20240601_276335_V10G,1/6/24 17:24,11100021,casacasco01-5d78e012c5714e63_11100021_eccdb5b2cc238d5e,Bloody Mary, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276335_V10G,1/6/24 17:24,111,casacasco01-5d78e012c5714e63_111_0b247d14aaf7c7eb,Blue Moon  12OZ, Bebidas Alcoholicas, CERVEZA,6.5,0,0.46,6.96,1,6.5
Restaurant 1,20240601_276335_V10G,1/6/24 17:24,21800006,casacasco01-5d78e012c5714e63_21800006_8573fc820c71742c,Jugo  Pina Vaso, Bebidas No Alcoholicas, JUGOS,6,0,0.42,6.42,1,6
Restaurant 1,20240601_276335_V10G,1/6/24 17:24,1326,casacasco01-5d78e012c5714e63_1326_488956d415add2e6,Valet Parking, EVENTOS, EVENTOS,5,0,0.35,5.35,1,5
Restaurant 1,20240601_276352_V10G,1/6/24 17:26,721,casacasco01-5d78e012c5714e63_721_1fe10ce1f6d86bdf,Trio Mini Burguer, MARULA, PICADAS MARULA TERRAZA,34,0,2.38,36.38,2,17
Restaurant 1,20240601_276352_V10G,1/6/24 17:26,10901010,casacasco01-5d78e012c5714e63_10901010_00c0f12b5b184ffe,Red Classic Jarra, Bebidas Alcoholicas, SUBPRODUCTOS DE BARRA,30,0,2.1,32.1,1,30
Restaurant 1,20240601_276352_V10G,1/6/24 17:26,360,casacasco01-5d78e012c5714e63_360_752d57b9475e4a34,Camarones, MARULA, PICADAS MARULA TERRAZA,22,0,1.54,23.54,1,22
Restaurant 1,20240601_276352_V10G,1/6/24 17:26,2265,casacasco01-5d78e012c5714e63_2265_e6b46f368d0c52a8,Ceviche Amazonico,,,18,0,1.26,19.26,1,18
Restaurant 1,20240601_276352_V10G,1/6/24 17:26,11100016,casacasco01-5d78e012c5714e63_11100016_cf365daeff3f9969,Pina Colada, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276352_V10G,1/6/24 17:26,10300002,casacasco01-5d78e012c5714e63_10300002_3decec02e5bb07f7,Abuelo 7  Trago, Bebidas Alcoholicas, RON,10,0,0.7,10.7,1,10
Restaurant 1,20240601_276352_V10G,1/6/24 17:26,988,casacasco01-5d78e012c5714e63_988_14dc863869ad6c45,Amapola, Bebidas No Alcoholicas, JUGOS,8,0,0.56,8.56,1,8
Restaurant 1,20240601_276345_V10G,1/6/24 17:29,10120001,casacasco01-5d78e012c5714e63_10120001_08b9646584cd93c5,Mojito Clasico, Bebidas Alcoholicas, MOJITOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276345_V10G,1/6/24 17:29,11100007,casacasco01-5d78e012c5714e63_11100007_1241e73ff4d17c8b,Negroni, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276340_V10G,1/6/24 17:31,3354,casacasco01-5d78e012c5714e63_3354_b89638455e640027,Margarita, Bebidas Alcoholicas, COCTELES CLASICOS,25,0,1.75,26.75,2,12.5
Restaurant 1,20240601_276340_V10G,1/6/24 17:31,3204,casacasco01-5d78e012c5714e63_3204_7f6d6ff93fafa480,Empanaditas Ropa Vieja, KOBORE, KOBORE TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240601_276340_V10G,1/6/24 17:31,1494,casacasco01-5d78e012c5714e63_1494_714f01a58c0c6840,Margarita de Fresa, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240601_276334_V10G,1/6/24 17:34,634,casacasco01-5d78e012c5714e63_634_3a5bfde5a81e344e,Modelo Especial, Bebidas Alcoholicas, CERVEZA,18,0,1.26,19.26,3,6
Restaurant 1,20240601_276334_V10G,1/6/24 17:34,21500003,casacasco01-5d78e012c5714e63_21500003_58847228b3f68369,Agua Panama Blue 500 ml, Bebidas No Alcoholicas, AGUA,5,0,0.35,5.35,1,5
Restaurant 1,20240601_276336_V10G,1/6/24 17:36,994,casacasco01-5d78e012c5714e63_994_c6e7dbc187fc6d7a,Wild Mojito, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
