Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de octubre de 2024 al 31 de octubre de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 1,20241001_291261_V10G,1/10/24 13:15,11000015,casacasco01-5d78e012c5714e63_11000015_1df5bd2f7d4b869e,Balboa Roja lata 330 ml, Bebidas Alcoholicas, CERVEZA,10,0,0.7,10.7,2,5
Restaurant 1,20241001_291261_V10G,1/10/24 13:15,1921,casacasco01-5d78e012c5714e63_1921_74eed0d2a384f125,Veggie Roll,,,10,0,0.7,10.7,1,10
Restaurant 1,20241001_291261_V10G,1/10/24 13:15,52200002,casacasco01-5d78e012c5714e63_52200002_0979999473fa7b63,Gyozas,,,10,0,0.7,10.7,1,10
Restaurant 1,20241001_291261_V10G,1/10/24 13:15,1759,casacasco01-5d78e012c5714e63_1759_70b572bcd1a9818b,Casco Flower, Bebidas No Alcoholicas, MOCKTAILS,6.5,0,0.46,6.96,1,6.5
Restaurant 1,20241001_291261_V10G,1/10/24 13:15,573,casacasco01-5d78e012c5714e63_573_adf6e5434a439f9a,EN LAS ROCAS, Bebidas No Alcoholicas, AGUA,0,0,0,0,1,0
Restaurant 1,20241001_291264_V10G,1/10/24 13:29,11000015,casacasco01-5d78e012c5714e63_11000015_1df5bd2f7d4b869e,Balboa Roja lata 330 ml, Bebidas Alcoholicas, CERVEZA,20,0,1.4,21.4,4,5
Restaurant 1,20241001_291264_V10G,1/10/24 13:29,2228,casacasco01-5d78e012c5714e63_2228_c1185ca089a8e50d,Brocheta de Pollo,,,19,0,1.33,20.33,1,19
Restaurant 1,20241001_291264_V10G,1/10/24 13:29,2248,casacasco01-5d78e012c5714e63_2248_5cddd837985b626a,Veggie Spring Rolls,,,10,0,0.7,10.7,1,10
Restaurant 1,20241001_291264_V10G,1/10/24 13:29,573,casacasco01-5d78e012c5714e63_573_adf6e5434a439f9a,EN LAS ROCAS, Bebidas No Alcoholicas, AGUA,0,0,0,0,1,0
Restaurant 1,20241001_291262_V10G,1/10/24 13:30,21800006,casacasco01-5d78e012c5714e63_21800006_8573fc820c71742c,Jugo  Pina Vaso, Bebidas No Alcoholicas, JUGOS,18,0,1.26,19.26,3,6
Restaurant 1,20241001_291262_V10G,1/10/24 13:30,1902,casacasco01-5d78e012c5714e63_1902_3f3b0225fca775cd,Crostini Mozzarella Tomate,,,10,0,0.7,10.7,1,10
Restaurant 1,20241001_291262_V10G,1/10/24 13:30,1903,casacasco01-5d78e012c5714e63_1903_ec3de7ac1f4c8d40,Crostini Champinones,,,10,0,0.7,10.7,1,10
Restaurant 1,20241001_291262_V10G,1/10/24 13:30,21600004,casacasco01-5d78e012c5714e63_21600004_f181f7f5d3ae33bb,Coca Zero 354ML, Bebidas No Alcoholicas, SODA,3.5,0,0.25,3.75,1,3.5
